title,thumbnail,tags,release_date,review_score,reviewed_by,price_currency,sale_price,original_price,discount_pct
ARK: Survival Ascended,https://cdn.akamai.steamstatic.com/steam/apps/2399830/header.jpg?t=1698342194,"['Survival', 'Dinosaurs', 'Open World', 'Adventure', 'Action']",2023-10-26,Mixed,7801,€,40.49,0.0,0.0
Euro Truck Simulator 2,https://cdn.akamai.steamstatic.com/steam/apps/227300/header.jpg?t=1697795373,"['Driving', 'Transportation', 'Simulation', 'Open World', 'Automobile Sim']",2012-10-12,Overwhelmingly Positive,505762,€,4.99,19.99,75.04
Marvel’s Spider-Man Remastered,https://cdn.akamai.steamstatic.com/steam/apps/1817070/header.jpg?t=1695916105,"['Superhero', 'Open World', 'Action', 'Singleplayer', 'Story Rich']",2022-08-12,Overwhelmingly Positive,55783,€,35.99,59.99,40.01
Marvel’s Spider-Man: Miles Morales,https://cdn.akamai.steamstatic.com/steam/apps/1817190/header.jpg?t=1695916167,"['Action', 'Open World', 'Superhero', 'Adventure', 'Singleplayer']",2022-11-18,Very Positive,17720,€,29.99,49.99,40.01
Phasmophobia,https://cdn.akamai.steamstatic.com/steam/apps/739630/header.jpg?t=1693954450,"['Horror', 'Online Co-Op', 'Multiplayer', 'Psychological Horror', 'Co-op']",2020-09-18,Overwhelmingly Positive,498704,€,9.27,11.59,20.02
theHunter: Call of the Wild™,https://cdn.akamai.steamstatic.com/steam/apps/518790/header.jpg?t=1696928623,"['Hunting', 'Open World', 'Multiplayer', 'Simulation', 'First-Person']",2017-02-16,Very Positive,117511,€,5.99,19.99,70.04
DayZ,https://cdn.akamai.steamstatic.com/steam/apps/221100/header.jpg?t=1674143992,"['Survival', 'Zombies', 'Multiplayer', 'Open World', 'Action']",2018-12-13,Mostly Positive,299680,€,23.99,39.99,40.01
Red Dead Redemption 2,https://cdn.akamai.steamstatic.com/steam/apps/1174180/header.jpg?t=1695140956,"['Open World', 'Story Rich', 'Western', 'Adventure', 'Action']",2019-12-05,Very Positive,427076,€,23.99,59.99,60.01
The Forest,https://cdn.akamai.steamstatic.com/steam/apps/242760/header.jpg?t=1666811027,"['Open World Survival Craft', 'Survival', 'Open World', 'Horror', 'Crafting']",2018-04-30,Overwhelmingly Positive,420997,€,4.19,16.79,75.04
Strange Brigade,https://cdn.akamai.steamstatic.com/steam/apps/312670/header.jpg?t=1589878497,"['Adventure', 'Action', 'Co-op', 'Zombies', 'Multiplayer']",2018-08-28,Very Positive,4241,€,2.5,49.99,95.0
HITMAN 3,https://cdn.akamai.steamstatic.com/steam/apps/1659040/header.jpg?t=1693992811,"['Stealth', 'Action', 'Assassin', 'Singleplayer', 'Sandbox']",2022-01-20,Very Positive,14419,€,27.99,69.99,60.01
SnowRunner,https://cdn.akamai.steamstatic.com/steam/apps/1465360/header.jpg?t=1697715028,"['Simulation', 'Automobile Sim', 'Adventure', 'Exploration', 'Driving']",2021-05-18,Very Positive,22406,€,14.99,29.99,50.02
